id,name,research_interests,skills,publications,profile_text
1,Ananya Gupta 1,Natural Language Processing and Large Language Models,"Data Analysis, Transformers, HuggingFace",Bias detection in large language models,"Natural Language Processing and Large Language Models. Expertise in Data Analysis, Transformers, HuggingFace. Published work on Bias detection in large language models."
2,Kabir Verma 2,Computer Vision for Medical Imaging,"Scikit-Learn, Machine Learning, PyTorch",Semantic search engine for academic research,"Computer Vision for Medical Imaging. Expertise in Scikit-Learn, Machine Learning, PyTorch. Published work on Semantic search engine for academic research."
3,Ritika Desai 3,Natural Language Processing and Large Language Models,"Python, PyTorch, HuggingFace",Bias detection in large language models,"Natural Language Processing and Large Language Models. Expertise in Python, PyTorch, HuggingFace. Published work on Bias detection in large language models."
4,Aarav Sharma 4,Financial Fraud Detection using AI,"HuggingFace, Scikit-Learn, Machine Learning",AI-driven climate prediction models,"Financial Fraud Detection using AI. Expertise in HuggingFace, Scikit-Learn, Machine Learning. Published work on AI-driven climate prediction models."
5,Sneha Kapoor 5,AI for Climate Change Modeling,"FastAPI, Transformers, Python",RAG-based conversational AI framework,"AI for Climate Change Modeling. Expertise in FastAPI, Transformers, Python. Published work on RAG-based conversational AI framework."
6,Ritika Desai 6,Explainable AI in Healthcare,"Transformers, TensorFlow, HuggingFace",Explainable AI for clinical diagnostics,"Explainable AI in Healthcare. Expertise in Transformers, TensorFlow, HuggingFace. Published work on Explainable AI for clinical diagnostics."
7,Ananya Gupta 7,Computer Vision for Medical Imaging,"LangChain, PyTorch, Vector Databases",Explainable AI for clinical diagnostics,"Computer Vision for Medical Imaging. Expertise in LangChain, PyTorch, Vector Databases. Published work on Explainable AI for clinical diagnostics."
8,Vivaan Malhotra 8,Natural Language Processing and Large Language Models,"Data Analysis, Deep Learning, Machine Learning",CNN-based tumor detection system,"Natural Language Processing and Large Language Models. Expertise in Data Analysis, Deep Learning, Machine Learning. Published work on CNN-based tumor detection system."
9,Kunal Mehta 9,Computer Vision for Medical Imaging,"Machine Learning, Transformers, FastAPI",Explainable AI for clinical diagnostics,"Computer Vision for Medical Imaging. Expertise in Machine Learning, Transformers, FastAPI. Published work on Explainable AI for clinical diagnostics."
10,Aditya Nair 10,Computer Vision for Medical Imaging,"Python, Scikit-Learn, HuggingFace",Graph neural networks for drug discovery,"Computer Vision for Medical Imaging. Expertise in Python, Scikit-Learn, HuggingFace. Published work on Graph neural networks for drug discovery."
11,Rohan Singh 11,Graph Neural Networks for Drug Discovery,"PyTorch, LangChain, Transformers",Financial anomaly detection system,"Graph Neural Networks for Drug Discovery. Expertise in PyTorch, LangChain, Transformers. Published work on Financial anomaly detection system."
12,Diya Sethi 12,Healthcare AI and Clinical Decision Systems,"Vector Databases, Data Analysis, HuggingFace",Graph neural networks for drug discovery,"Healthcare AI and Clinical Decision Systems. Expertise in Vector Databases, Data Analysis, HuggingFace. Published work on Graph neural networks for drug discovery."
13,Rohan Singh 13,Autonomous Systems and Self Driving Cars,"Scikit-Learn, TensorFlow, Machine Learning",Bias detection in large language models,"Autonomous Systems and Self Driving Cars. Expertise in Scikit-Learn, TensorFlow, Machine Learning. Published work on Bias detection in large language models."
14,Ishita Rao 14,AI for Climate Change Modeling,"LangChain, Transformers, Machine Learning",Bias detection in large language models,"AI for Climate Change Modeling. Expertise in LangChain, Transformers, Machine Learning. Published work on Bias detection in large language models."
15,Arjun Patel 15,Natural Language Processing and Large Language Models,"HuggingFace, Python, Vector Databases",AI-driven climate prediction models,"Natural Language Processing and Large Language Models. Expertise in HuggingFace, Python, Vector Databases. Published work on AI-driven climate prediction models."
16,Vivaan Malhotra 16,Computer Vision for Medical Imaging,"HuggingFace, FastAPI, Vector Databases",Bias detection in large language models,"Computer Vision for Medical Imaging. Expertise in HuggingFace, FastAPI, Vector Databases. Published work on Bias detection in large language models."
17,Neha Joshi 17,Cybersecurity using Machine Learning,"Scikit-Learn, Deep Learning, TensorFlow",Graph neural networks for drug discovery,"Cybersecurity using Machine Learning. Expertise in Scikit-Learn, Deep Learning, TensorFlow. Published work on Graph neural networks for drug discovery."
18,Kabir Verma 18,Graph Neural Networks for Drug Discovery,"Data Analysis, Machine Learning, Scikit-Learn",Graph neural networks for drug discovery,"Graph Neural Networks for Drug Discovery. Expertise in Data Analysis, Machine Learning, Scikit-Learn. Published work on Graph neural networks for drug discovery."
19,Ritika Desai 19,Autonomous Systems and Self Driving Cars,"LangChain, Vector Databases, HuggingFace",RAG-based conversational AI framework,"Autonomous Systems and Self Driving Cars. Expertise in LangChain, Vector Databases, HuggingFace. Published work on RAG-based conversational AI framework."
20,Neha Joshi 20,Computer Vision for Medical Imaging,"Python, PyTorch, TensorFlow",RAG-based conversational AI framework,"Computer Vision for Medical Imaging. Expertise in Python, PyTorch, TensorFlow. Published work on RAG-based conversational AI framework."
